Web Search interest: inflation
United States; 2004 - present

Interest over time
Week,inflation
2006-05-21 - 2006-05-27,66
2006-05-28 - 2006-06-03,61
2006-06-04 - 2006-06-10,67
2006-06-11 - 2006-06-17,75
2006-06-18 - 2006-06-24,61
2006-06-25 - 2006-07-01,57
2006-07-02 - 2006-07-08,54
2006-07-09 - 2006-07-15,55
2006-07-16 - 2006-07-22,55
2006-07-23 - 2006-07-29,50
2006-07-30 - 2006-08-05,52
2006-08-06 - 2006-08-12,54
2006-08-13 - 2006-08-19,52
2006-08-20 - 2006-08-26,55
2006-08-27 - 2006-09-02,60
2006-09-03 - 2006-09-09,54
2006-09-10 - 2006-09-16,57
2006-09-17 - 2006-09-23,64
2006-09-24 - 2006-09-30,67
2006-10-01 - 2006-10-07,61
2006-10-08 - 2006-10-14,59
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,66
2006-10-29 - 2006-11-04,61
2006-11-05 - 2006-11-11,63
2006-11-12 - 2006-11-18,78
2006-11-19 - 2006-11-25,62
2006-11-26 - 2006-12-02,60
2006-12-03 - 2006-12-09,74
2006-12-10 - 2006-12-16,69
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,42
2006-12-31 - 2007-01-06,52
2007-01-07 - 2007-01-13,56
2007-01-14 - 2007-01-20,67
2007-01-21 - 2007-01-27,63
2007-01-28 - 2007-02-03,59
2007-02-04 - 2007-02-10,61
2007-02-11 - 2007-02-17,60
2007-02-18 - 2007-02-24,67
2007-02-25 - 2007-03-03,70
2007-03-04 - 2007-03-10,63
2007-03-11 - 2007-03-17,58
2007-03-18 - 2007-03-24,64
2007-03-25 - 2007-03-31,57
2007-04-01 - 2007-04-07,59
2007-04-08 - 2007-04-14,67
2007-04-15 - 2007-04-21,60
2007-04-22 - 2007-04-28,74
2007-04-29 - 2007-05-05,72
2007-05-06 - 2007-05-12,67
2007-05-13 - 2007-05-19,62
2007-05-20 - 2007-05-26,59
2007-05-27 - 2007-06-02,51
2007-06-03 - 2007-06-09,62
2007-06-10 - 2007-06-16,60
2007-06-17 - 2007-06-23,55
2007-06-24 - 2007-06-30,52
2007-07-01 - 2007-07-07,49
2007-07-08 - 2007-07-14,58
2007-07-15 - 2007-07-21,52
2007-07-22 - 2007-07-28,51
2007-07-29 - 2007-08-04,54
2007-08-05 - 2007-08-11,47
2007-08-12 - 2007-08-18,52
2007-08-19 - 2007-08-25,43
2007-08-26 - 2007-09-01,53
2007-09-02 - 2007-09-08,53
2007-09-09 - 2007-09-15,58
2007-09-16 - 2007-09-22,74
2007-09-23 - 2007-09-29,66
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,69
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,71
2007-10-28 - 2007-11-03,72
2007-11-04 - 2007-11-10,80
2007-11-11 - 2007-11-17,74
2007-11-18 - 2007-11-24,67
2007-11-25 - 2007-12-01,74
2007-12-02 - 2007-12-08,68
2007-12-09 - 2007-12-15,77
2007-12-16 - 2007-12-22,67
2007-12-23 - 2007-12-29,45
2007-12-30 - 2008-01-05,54
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,84
2008-01-20 - 2008-01-26,71
2008-01-27 - 2008-02-02,79
2008-02-03 - 2008-02-09,68
2008-02-10 - 2008-02-16,67
2008-02-17 - 2008-02-23,80
2008-02-24 - 2008-03-01,100
2008-03-02 - 2008-03-08,86
2008-03-09 - 2008-03-15,90
2008-03-16 - 2008-03-22,81
2008-03-23 - 2008-03-29,70
2008-03-30 - 2008-04-05,78
2008-04-06 - 2008-04-12,83
2008-04-13 - 2008-04-19,93
2008-04-20 - 2008-04-26,95
2008-04-27 - 2008-05-03,93
2008-05-04 - 2008-05-10,82
2008-05-11 - 2008-05-17,77
2008-05-18 - 2008-05-24,77
2008-05-25 - 2008-05-31,68
2008-06-01 - 2008-06-07,70
2008-06-08 - 2008-06-14,84
2008-06-15 - 2008-06-21,66
2008-06-22 - 2008-06-28,77
2008-06-29 - 2008-07-05,71
2008-07-06 - 2008-07-12,69
2008-07-13 - 2008-07-19,83
2008-07-20 - 2008-07-26,72
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,61
2008-08-10 - 2008-08-16,60
2008-08-17 - 2008-08-23,67
2008-08-24 - 2008-08-30,58
2008-08-31 - 2008-09-06,57
2008-09-07 - 2008-09-13,65
2008-09-14 - 2008-09-20,79
2008-09-21 - 2008-09-27,83
2008-09-28 - 2008-10-04,84
2008-10-05 - 2008-10-11,88
2008-10-12 - 2008-10-18,85
2008-10-19 - 2008-10-25,80
2008-10-26 - 2008-11-01,79
2008-11-02 - 2008-11-08,74
2008-11-09 - 2008-11-15,70
2008-11-16 - 2008-11-22,80
2008-11-23 - 2008-11-29,68
2008-11-30 - 2008-12-06,75
2008-12-07 - 2008-12-13,81
2008-12-14 - 2008-12-20,71
2008-12-21 - 2008-12-27,38
2008-12-28 - 2009-01-03,43
2009-01-04 - 2009-01-10,60
2009-01-11 - 2009-01-17,62
2009-01-18 - 2009-01-24,58
2009-01-25 - 2009-01-31,68
2009-02-01 - 2009-02-07,73
2009-02-08 - 2009-02-14,76
2009-02-15 - 2009-02-21,76
2009-02-22 - 2009-02-28,74
2009-03-01 - 2009-03-07,74
2009-03-08 - 2009-03-14,81
2009-03-15 - 2009-03-21,77
2009-03-22 - 2009-03-28,76
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,78
2009-04-19 - 2009-04-25,67
2009-04-26 - 2009-05-02,71
2009-05-03 - 2009-05-09,70
2009-05-10 - 2009-05-16,61
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,62
2009-05-31 - 2009-06-06,65
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,66
2009-06-21 - 2009-06-27,51
2009-06-28 - 2009-07-04,50
2009-07-05 - 2009-07-11,48
2009-07-12 - 2009-07-18,51
2009-07-19 - 2009-07-25,53
2009-07-26 - 2009-08-01,50
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,46
2009-08-16 - 2009-08-22,44
2009-08-23 - 2009-08-29,55
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,52
2009-09-13 - 2009-09-19,61
2009-09-20 - 2009-09-26,61
2009-09-27 - 2009-10-03,59
2009-10-04 - 2009-10-10,70
2009-10-11 - 2009-10-17,67
2009-10-18 - 2009-10-24,69
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,60
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,69
2009-11-22 - 2009-11-28,57
2009-11-29 - 2009-12-05,63
2009-12-06 - 2009-12-12,66
2009-12-13 - 2009-12-19,58
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,43
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,57
2010-01-24 - 2010-01-30,65
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,58
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,59
2010-04-04 - 2010-04-10,62
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,66
2010-05-02 - 2010-05-08,64
2010-05-09 - 2010-05-15,57
2010-05-16 - 2010-05-22,56
2010-05-23 - 2010-05-29,54
2010-05-30 - 2010-06-05,46
2010-06-06 - 2010-06-12,45
2010-06-13 - 2010-06-19,43
2010-06-20 - 2010-06-26,42
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,39
2010-07-25 - 2010-07-31,40
2010-08-01 - 2010-08-07,42
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,57
2010-10-10 - 2010-10-16,68
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,60
2010-10-31 - 2010-11-06,70
2010-11-07 - 2010-11-13,86
2010-11-14 - 2010-11-20,77
2010-11-21 - 2010-11-27,54
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,44
2011-01-02 - 2011-01-08,54
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,76
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,66
2011-03-13 - 2011-03-19,62
2011-03-20 - 2011-03-26,61
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,74
2011-04-10 - 2011-04-16,82
2011-04-17 - 2011-04-23,76
2011-04-24 - 2011-04-30,82
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,50
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,55
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,61
2011-10-16 - 2011-10-22,61
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,58
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,65
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,40
2011-12-25 - 2011-12-31,37
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,48
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,62
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,64
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,60
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,62
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,63
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,38
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,41
2012-07-22 - 2012-07-28,42
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,42
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,59
2012-09-16 - 2012-09-22,61
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,56
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,48
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,62
2012-12-09 - 2012-12-15,61
2012-12-16 - 2012-12-22,45
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,61
2013-03-03 - 2013-03-09,62
2013-03-10 - 2013-03-16,57
2013-03-17 - 2013-03-23,58
2013-03-24 - 2013-03-30,54
2013-03-31 - 2013-04-06,62
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,64
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,68
2013-05-05 - 2013-05-11,62
2013-05-12 - 2013-05-18,58
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,48
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,44
2013-06-16 - 2013-06-22,44
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,36
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,42
2013-08-11 - 2013-08-17,40
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,46
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,52
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,57
2013-09-29 - 2013-10-05,56
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,61
2013-10-20 - 2013-10-26,60
2013-10-27 - 2013-11-02,62
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,66
2013-11-24 - 2013-11-30,52
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,68
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,40
2014-01-05 - 2014-01-11,52
2014-01-12 - 2014-01-18,57
2014-01-19 - 2014-01-25,57
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,58
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,60
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,77
2014-03-23 - 2014-03-29,63
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,65
2014-04-13 - 2014-04-19,66
2014-04-20 - 2014-04-26,68
2014-04-27 - 2014-05-03,72
2014-05-04 - 2014-05-10,72
2014-05-11 - 2014-05-17,66
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,57
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,49
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,49
2014-06-29 - 2014-07-05,47
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,51
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,46
2014-08-24 - 2014-08-30,46
2014-08-31 - 2014-09-06,52
2014-09-07 - 2014-09-13,57
2014-09-14 - 2014-09-20,59
2014-09-21 - 2014-09-27,65
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,63
2014-10-12 - 2014-10-18,62
2014-10-19 - 2014-10-25,69
2014-10-26 - 2014-11-01,65
2014-11-02 - 2014-11-08,65
2014-11-09 - 2014-11-15,65
2014-11-16 - 2014-11-22,66
2014-11-23 - 2014-11-29,55
2014-11-30 - 2014-12-06,69
2014-12-07 - 2014-12-13,71
2014-12-14 - 2014-12-20,64
2014-12-21 - 2014-12-27,43
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,55
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,73
2015-01-25 - 2015-01-31,66
2015-02-01 - 2015-02-07,63
2015-02-08 - 2015-02-14,64
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,69
2015-03-01 - 2015-03-07,66
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,64
2015-03-22 - 2015-03-28,65
2015-03-29 - 2015-04-04,60
2015-04-05 - 2015-04-11,67
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,70
2015-04-26 - 2015-05-02,72
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,68
2015-05-17 - 2015-05-23,63
2015-05-24 - 2015-05-30,54
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,49
2015-06-14 - 2015-06-20,49
2015-06-21 - 2015-06-27,47
2015-06-28 - 2015-07-04,45
2015-07-05 - 2015-07-11,46
2015-07-12 - 2015-07-18,49
2015-07-19 - 2015-07-25,52
2015-07-26 - 2015-08-01,48
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,51
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,60
2015-09-06 - 2015-09-12,56
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,65
2015-09-27 - 2015-10-03,67
2015-10-04 - 2015-10-10,70
2015-10-11 - 2015-10-17,67
2015-10-18 - 2015-10-24,66
2015-10-25 - 2015-10-31,67
2015-11-01 - 2015-11-07,66
2015-11-08 - 2015-11-14,71
2015-11-15 - 2015-11-21,72
2015-11-22 - 2015-11-28, 


Top subregions for inflation
Subregion,inflation
District of Columbia,100
Delaware,93
Indiana,92
Connecticut,88
Massachusetts,88
New Hampshire,88
Vermont,85
Maryland,84
Iowa,83
Idaho,83
Pennsylvania,83
New York,83
Wisconsin,82
Minnesota,81
Wyoming,81
Michigan,81
New Jersey,81
Rhode Island,80
New Mexico,80
Utah,79
South Dakota,79
North Dakota,79
Ohio,78
Colorado,77
Maine,77
Nebraska,77
Alaska,76
Washington,76
Missouri,75
Illinois,74
Montana,73
West Virginia,72
Kansas,72
Arizona,72
Arkansas,71
Virginia,70
North Carolina,70
California,69
Alabama,68
Tennessee,68
Oklahoma,68
Texas,68
Georgia,67
South Carolina,66
Florida,64
Hawaii,63
Kentucky,62
Oregon,59
Mississippi,56
Louisiana,55
Nevada,54


Top metros for inflation
Metro,inflation
Lansing MI,100
Champaign & Springfield-Decatur IL,91
Richmond-Petersburg VA,89
Charlottesville VA,87
Johnstown-Altoona PA,85
Tallahassee FL-Thomasville GA,83
Columbia-Jefferson City MO,80
Lincoln & Hastings-Kearney NE,80
Peoria-Bloomington IL,80
Gainesville FL,79
Burlington VT-Plattsburgh NY,77
Syracuse NY,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,75
Grand Rapids-Kalamazoo-Battle Creek MI,73
Springfield-Holyoke MA,73
Indianapolis IN,72
Boston MA-Manchester NH,71
Pittsburgh PA,71
Albany-Schenectady-Troy NY,71
Rochester NY,70
Hartford & New Haven CT,70
Dayton OH,70
Milwaukee WI,70
Tucson (Sierra Vista) AZ,70
Fargo-Valley City ND,69
Ft. Smith-Fayetteville-Springdale-Rogers AR,69
South Bend-Elkhart IN,68
Spokane WA,68
Colorado Springs-Pueblo CO,68
New York NY,68
Buffalo NY,66
Flint-Saginaw-Bay City MI,66
Albuquerque-Santa Fe NM,66
Green Bay-Appleton WI,66
Minneapolis-St. Paul MN,66
Eugene OR,65
Sioux Falls(Mitchell) SD,65
Monterey-Salinas CA,65
Madison WI,65
Philadelphia PA,65
Columbus OH,65
Denver CO,64
Boise ID,64
Providence RI-New Bedford MA,64
Harrisburg-Lancaster-Lebanon-York PA,64
Cincinnati OH,64
Huntsville-Decatur (Florence) AL,64
Salt Lake City UT,64
Norfolk-Portsmouth-Newport News VA,64
Savannah GA,64
Washington DC (Hagerstown MD),63
Jacksonville FL,63
Waco-Temple-Bryan TX,63
Santa Barbara-Santa Maria-San Luis Obispo CA,62
Des Moines-Ames IA,62
Portland-Auburn ME,62
Birmingham AL,61
Omaha NE,61
Detroit MI,61
La Crosse-Eau Claire WI,61
Baltimore MD,61
Memphis TN,60
Springfield MO,60
Sacramento-Stockton-Modesto CA,60
Raleigh-Durham (Fayetteville) NC,60
Toledo OH,59
Seattle-Tacoma WA,59
Austin TX,58
Wilkes Barre-Scranton PA,58
Knoxville TN,58
Greensboro-High Point-Winston Salem NC,57
St. Louis MO,57
Kansas City MO,57
San Diego CA,57
Chicago IL,57
Cleveland-Akron (Canton) OH,57
Lexington KY,57
Los Angeles CA,56
Columbia SC,56
Reno NV,55
Baton Rouge LA,55
Tulsa OK,55
Greenville-Spartanburg SC-Asheville NC-Anderson SC,55
Little Rock-Pine Bluff AR,55
Orlando-Daytona Beach-Melbourne FL,55
Charleston SC,55
Tampa-St. Petersburg (Sarasota) FL,54
Phoenix AZ,54
San Francisco-Oakland-San Jose CA,53
Houston TX,53
Anchorage AK,52
Charleston-Huntington WV,52
Louisville KY,52
Atlanta GA,52
Chattanooga TN,51
Oklahoma City OK,51
Honolulu HI,50
Charlotte NC,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,49
Dallas-Ft. Worth TX,49
Ft. Myers-Naples FL,47
Nashville TN,47
Jackson MS,47
West Palm Beach-Ft. Pierce FL,46
Wichita-Hutchinson KS,46
Portland OR,46
Miami-Ft. Lauderdale FL,46
Roanoke-Lynchburg VA,45
Fresno-Visalia CA,45
New Orleans LA,44
San Antonio TX,40
Las Vegas NV,40
Augusta GA,37
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
