Web Search interest: inflation
Canada; 2004 - present

Interest over time
Week,inflation
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,45
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,48
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,50
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,51
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,50
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,55
2013-03-31 - 2013-04-06,47
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,34
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,37
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,42
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,48
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,51
2013-12-01 - 2013-12-07,53
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,44
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,64
2014-02-02 - 2014-02-08,64
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,46
2014-02-23 - 2014-03-01,47
2014-03-02 - 2014-03-08,53
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,64
2014-03-23 - 2014-03-29,51
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,54
2014-04-13 - 2014-04-19,54
2014-04-20 - 2014-04-26,50
2014-04-27 - 2014-05-03,41
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,35
2014-05-18 - 2014-05-24,40
2014-05-25 - 2014-05-31,50
2014-06-01 - 2014-06-07,50
2014-06-08 - 2014-06-14,43
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,43
2014-06-29 - 2014-07-05,41
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,47
2014-07-20 - 2014-07-26,39
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,49
2014-09-28 - 2014-10-04,52
2014-10-05 - 2014-10-11,49
2014-10-12 - 2014-10-18,44
2014-10-19 - 2014-10-25,49
2014-10-26 - 2014-11-01,48
2014-11-02 - 2014-11-08,49
2014-11-09 - 2014-11-15,47
2014-11-16 - 2014-11-22,59
2014-11-23 - 2014-11-29,55
2014-11-30 - 2014-12-06,55
2014-12-07 - 2014-12-13,60
2014-12-14 - 2014-12-20,53
2014-12-21 - 2014-12-27,35
2014-12-28 - 2015-01-03,30
2015-01-04 - 2015-01-10,56
2015-01-11 - 2015-01-17,62
2015-01-18 - 2015-01-24,69
2015-01-25 - 2015-01-31,72
2015-02-01 - 2015-02-07,59
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,59
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,62
2015-03-15 - 2015-03-21,55
2015-03-22 - 2015-03-28,60
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,62
2015-04-19 - 2015-04-25,56
2015-04-26 - 2015-05-02,48
2015-05-03 - 2015-05-09,47
2015-05-10 - 2015-05-16,50
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,50
2015-05-31 - 2015-06-06,52
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,45
2015-06-21 - 2015-06-27,45
2015-06-28 - 2015-07-04,42
2015-07-05 - 2015-07-11,40
2015-07-12 - 2015-07-18,41
2015-07-19 - 2015-07-25,41
2015-07-26 - 2015-08-01,47
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,43
2015-08-16 - 2015-08-22,44
2015-08-23 - 2015-08-29,41
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,38
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,55
2015-09-27 - 2015-10-03,48
2015-10-04 - 2015-10-10,42
2015-10-11 - 2015-10-17,48
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,56
2015-11-01 - 2015-11-07,52
2015-11-08 - 2015-11-14,48
2015-11-15 - 2015-11-21,54
2015-11-22 - 2015-11-28, 


Top subregions for inflation
Subregion,inflation
Ontario,100
British Columbia,98
Alberta,97
Saskatchewan,88
Prince Edward Island,87
Nova Scotia,82
Manitoba,81
New Brunswick,81
Quebec,71
Newfoundland and Labrador,51
Northwest Territories,0
Nunavut,0
Yukon Territory,0


Top cities for inflation
City,inflation
Kingston,100
Oakville,96
Richmond,93
Ottawa,93
Guelph,92
Burnaby,88
London,88
Markham,87
Victoria,85
North Vancouver,83
Nanaimo,82
Vancouver,81
Mississauga,80
Hamilton,80
Saskatoon,79



Top searches for inflation
inflation rate,100
inflation canada,95
inflation calculator,50
inflation rate canada,45
rate of inflation,30
canadian inflation,25
inflation rates,20
inflation in canada,20
what is inflation,20
canada inflation calculator,15
us inflation,15
canadian inflation rate,15
gdp,10
cpi inflation,10
cpi,10
inflation definition,10
inflation index,10
inflation 2013,10
inflation 2014,10
inflation 2012,10
tire inflation,10
inflation 2011,10
calculate inflation,10
canada inflation rates,10
taux inflation,5
belly inflation,5
inflation 2015,5
inflation rate calculator,5
annual inflation rate,5
current inflation rate,5
alberta inflation,5
inflation canada 2013,5
cost of living,5
calculate inflation rate,5
average inflation rate,5
deflation,5
us inflation rate,5
cpi canada,5
define inflation,5
inflation canada 2014,5
inflation canada 2011,5
ontario inflation rate,5
inflation quebec,5
body inflation,5
inflation formula,5
consumer price index,5
definition of inflation,5
inflation québec,5
china inflation,5
statistics canada inflation,5



Rising searches for inflation
canada inflation calculator,Breakout
gdp,Breakout
inflation 2013,Breakout
inflation 2014,Breakout
inflation definition,Breakout
what is inflation,Breakout
inflation calculator,+300%
rate of inflation,+110%
inflation in canada,+80%
inflation rate canada,+80%



