"","from","to","data","from_year","to_year","from_month","to_month","from_day","to_day"
"33",2004-08-22,2004-08-28,2,2004,2004,8,8,22,28
"34",2004-08-29,2004-09-04,2,2004,2004,8,9,29,4
"35",2004-09-05,2004-09-11,2,2004,2004,9,9,5,11
"36",2004-09-12,2004-09-18,2,2004,2004,9,9,12,18
"37",2004-09-19,2004-09-25,2,2004,2004,9,9,19,25
"38",2004-09-26,2004-10-02,2,2004,2004,9,10,26,2
"39",2004-10-03,2004-10-09,2,2004,2004,10,10,3,9
"40",2004-10-10,2004-10-16,2,2004,2004,10,10,10,16
"41",2004-10-17,2004-10-23,2,2004,2004,10,10,17,23
"42",2004-10-24,2004-10-30,2,2004,2004,10,10,24,30
"43",2004-10-31,2004-11-06,2,2004,2004,10,11,31,6
"44",2004-11-07,2004-11-13,2,2004,2004,11,11,7,13
"45",2004-11-14,2004-11-20,2,2004,2004,11,11,14,20
"46",2004-11-21,2004-11-27,2,2004,2004,11,11,21,27
"47",2004-11-28,2004-12-04,2,2004,2004,11,12,28,4
"48",2004-12-05,2004-12-11,2,2004,2004,12,12,5,11
"49",2004-12-12,2004-12-18,2,2004,2004,12,12,12,18
"50",2004-12-19,2004-12-25,2,2004,2004,12,12,19,25
"51",2004-12-26,2005-01-01,2,2004,2005,12,1,26,1
"52",2005-01-02,2005-01-08,2,2005,2005,1,1,2,8
"53",2005-01-09,2005-01-15,2,2005,2005,1,1,9,15
"54",2005-01-16,2005-01-22,2,2005,2005,1,1,16,22
"55",2005-01-23,2005-01-29,2,2005,2005,1,1,23,29
"56",2005-01-30,2005-02-05,2,2005,2005,1,2,30,5
"57",2005-02-06,2005-02-12,2,2005,2005,2,2,6,12
"58",2005-02-13,2005-02-19,2,2005,2005,2,2,13,19
"59",2005-02-20,2005-02-26,2,2005,2005,2,2,20,26
"60",2005-02-27,2005-03-05,2,2005,2005,2,3,27,5
"61",2005-03-06,2005-03-12,2,2005,2005,3,3,6,12
"62",2005-03-13,2005-03-19,2,2005,2005,3,3,13,19
"63",2005-03-20,2005-03-26,2,2005,2005,3,3,20,26
"64",2005-03-27,2005-04-02,2,2005,2005,3,4,27,2
"65",2005-04-03,2005-04-09,2,2005,2005,4,4,3,9
"66",2005-04-10,2005-04-16,2,2005,2005,4,4,10,16
"67",2005-04-17,2005-04-23,2,2005,2005,4,4,17,23
"68",2005-04-24,2005-04-30,2,2005,2005,4,4,24,30
"69",2005-05-01,2005-05-07,2,2005,2005,5,5,1,7
"70",2005-05-08,2005-05-14,2,2005,2005,5,5,8,14
"71",2005-05-15,2005-05-21,2,2005,2005,5,5,15,21
"72",2005-05-22,2005-05-28,2,2005,2005,5,5,22,28
"73",2005-05-29,2005-06-04,2,2005,2005,5,6,29,4
"74",2005-06-05,2005-06-11,2,2005,2005,6,6,5,11
"75",2005-06-12,2005-06-18,2,2005,2005,6,6,12,18
"76",2005-06-19,2005-06-25,2,2005,2005,6,6,19,25
"77",2005-06-26,2005-07-02,2,2005,2005,6,7,26,2
"78",2005-07-03,2005-07-09,2,2005,2005,7,7,3,9
"79",2005-07-10,2005-07-16,2,2005,2005,7,7,10,16
"80",2005-07-17,2005-07-23,2,2005,2005,7,7,17,23
"81",2005-07-24,2005-07-30,2,2005,2005,7,7,24,30
"82",2005-07-31,2005-08-06,2,2005,2005,7,8,31,6
"83",2005-08-07,2005-08-13,2,2005,2005,8,8,7,13
"84",2005-08-14,2005-08-20,2,2005,2005,8,8,14,20
"85",2005-08-21,2005-08-27,2,2005,2005,8,8,21,27
"86",2005-08-28,2005-09-03,2,2005,2005,8,9,28,3
"87",2005-09-04,2005-09-10,2,2005,2005,9,9,4,10
"88",2005-09-11,2005-09-17,2,2005,2005,9,9,11,17
"89",2005-09-18,2005-09-24,2,2005,2005,9,9,18,24
"90",2005-09-25,2005-10-01,2,2005,2005,9,10,25,1
"91",2005-10-02,2005-10-08,2,2005,2005,10,10,2,8
"92",2005-10-09,2005-10-15,2,2005,2005,10,10,9,15
"93",2005-10-16,2005-10-22,2,2005,2005,10,10,16,22
"94",2005-10-23,2005-10-29,2,2005,2005,10,10,23,29
"95",2005-10-30,2005-11-05,2,2005,2005,10,11,30,5
"96",2005-11-06,2005-11-12,2,2005,2005,11,11,6,12
"97",2005-11-13,2005-11-19,2,2005,2005,11,11,13,19
"98",2005-11-20,2005-11-26,2,2005,2005,11,11,20,26
"99",2005-11-27,2005-12-03,2,2005,2005,11,12,27,3
"100",2005-12-04,2005-12-10,2,2005,2005,12,12,4,10
"101",2005-12-11,2005-12-17,2,2005,2005,12,12,11,17
"102",2005-12-18,2005-12-24,2,2005,2005,12,12,18,24
"103",2005-12-25,2005-12-31,2,2005,2005,12,12,25,31
"104",2006-01-01,2006-01-07,2,2006,2006,1,1,1,7
"105",2006-01-08,2006-01-14,2,2006,2006,1,1,8,14
"106",2006-01-15,2006-01-21,2,2006,2006,1,1,15,21
"107",2006-01-22,2006-01-28,2,2006,2006,1,1,22,28
"108",2006-01-29,2006-02-04,2,2006,2006,1,2,29,4
"109",2006-02-05,2006-02-11,2,2006,2006,2,2,5,11
"110",2006-02-12,2006-02-18,2,2006,2006,2,2,12,18
"111",2006-02-19,2006-02-25,2,2006,2006,2,2,19,25
"112",2006-02-26,2006-03-04,2,2006,2006,2,3,26,4
"113",2006-03-05,2006-03-11,2,2006,2006,3,3,5,11
"114",2006-03-12,2006-03-18,2,2006,2006,3,3,12,18
"115",2006-03-19,2006-03-25,2,2006,2006,3,3,19,25
"116",2006-03-26,2006-04-01,2,2006,2006,3,4,26,1
"117",2006-04-02,2006-04-08,2,2006,2006,4,4,2,8
"118",2006-04-09,2006-04-15,2,2006,2006,4,4,9,15
"119",2006-04-16,2006-04-22,2,2006,2006,4,4,16,22
"120",2006-04-23,2006-04-29,2,2006,2006,4,4,23,29
"121",2006-04-30,2006-05-06,2,2006,2006,4,5,30,6
"122",2006-05-07,2006-05-13,2,2006,2006,5,5,7,13
"123",2006-05-14,2006-05-20,2,2006,2006,5,5,14,20
"124",2006-05-21,2006-05-27,2,2006,2006,5,5,21,27
"125",2006-05-28,2006-06-03,2,2006,2006,5,6,28,3
"126",2006-06-04,2006-06-10,2,2006,2006,6,6,4,10
"127",2006-06-11,2006-06-17,2,2006,2006,6,6,11,17
"128",2006-06-18,2006-06-24,2,2006,2006,6,6,18,24
"129",2006-06-25,2006-07-01,2,2006,2006,6,7,25,1
"130",2006-07-02,2006-07-08,2,2006,2006,7,7,2,8
"131",2006-07-09,2006-07-15,2,2006,2006,7,7,9,15
"132",2006-07-16,2006-07-22,2,2006,2006,7,7,16,22
"133",2006-07-23,2006-07-29,2,2006,2006,7,7,23,29
"134",2006-07-30,2006-08-05,2,2006,2006,7,8,30,5
"135",2006-08-06,2006-08-12,2,2006,2006,8,8,6,12
"136",2006-08-13,2006-08-19,2,2006,2006,8,8,13,19
"137",2006-08-20,2006-08-26,2,2006,2006,8,8,20,26
"138",2006-08-27,2006-09-02,2,2006,2006,8,9,27,2
"139",2006-09-03,2006-09-09,2,2006,2006,9,9,3,9
"140",2006-09-10,2006-09-16,2,2006,2006,9,9,10,16
"141",2006-09-17,2006-09-23,2,2006,2006,9,9,17,23
"142",2006-09-24,2006-09-30,2,2006,2006,9,9,24,30
"143",2006-10-01,2006-10-07,2,2006,2006,10,10,1,7
"144",2006-10-08,2006-10-14,2,2006,2006,10,10,8,14
"145",2006-10-15,2006-10-21,2,2006,2006,10,10,15,21
"146",2006-10-22,2006-10-28,2,2006,2006,10,10,22,28
"147",2006-10-29,2006-11-04,2,2006,2006,10,11,29,4
"148",2006-11-05,2006-11-11,2,2006,2006,11,11,5,11
"149",2006-11-12,2006-11-18,2,2006,2006,11,11,12,18
"150",2006-11-19,2006-11-25,2,2006,2006,11,11,19,25
"151",2006-11-26,2006-12-02,2,2006,2006,11,12,26,2
"152",2006-12-03,2006-12-09,2,2006,2006,12,12,3,9
"153",2006-12-10,2006-12-16,2,2006,2006,12,12,10,16
"154",2006-12-17,2006-12-23,2,2006,2006,12,12,17,23
"155",2006-12-24,2006-12-30,2,2006,2006,12,12,24,30
"156",2006-12-31,2007-01-06,2,2006,2007,12,1,31,6
"157",2007-01-07,2007-01-13,2,2007,2007,1,1,7,13
"158",2007-01-14,2007-01-20,2,2007,2007,1,1,14,20
"159",2007-01-21,2007-01-27,2,2007,2007,1,1,21,27
"160",2007-01-28,2007-02-03,2,2007,2007,1,2,28,3
"161",2007-02-04,2007-02-10,2,2007,2007,2,2,4,10
"162",2007-02-11,2007-02-17,2,2007,2007,2,2,11,17
"163",2007-02-18,2007-02-24,2,2007,2007,2,2,18,24
"164",2007-02-25,2007-03-03,2,2007,2007,2,3,25,3
"165",2007-03-04,2007-03-10,2,2007,2007,3,3,4,10
"166",2007-03-11,2007-03-17,2,2007,2007,3,3,11,17
"167",2007-03-18,2007-03-24,2,2007,2007,3,3,18,24
"168",2007-03-25,2007-03-31,2,2007,2007,3,3,25,31
"169",2007-04-01,2007-04-07,2,2007,2007,4,4,1,7
"170",2007-04-08,2007-04-14,2,2007,2007,4,4,8,14
"171",2007-04-15,2007-04-21,2,2007,2007,4,4,15,21
"172",2007-04-22,2007-04-28,2,2007,2007,4,4,22,28
"173",2007-04-29,2007-05-05,2,2007,2007,4,5,29,5
"174",2007-05-06,2007-05-12,2,2007,2007,5,5,6,12
"175",2007-05-13,2007-05-19,2,2007,2007,5,5,13,19
"176",2007-05-20,2007-05-26,2,2007,2007,5,5,20,26
"177",2007-05-27,2007-06-02,2,2007,2007,5,6,27,2
"178",2007-06-03,2007-06-09,2,2007,2007,6,6,3,9
"179",2007-06-10,2007-06-16,2,2007,2007,6,6,10,16
"180",2007-06-17,2007-06-23,2,2007,2007,6,6,17,23
"181",2007-06-24,2007-06-30,2,2007,2007,6,6,24,30
"182",2007-07-01,2007-07-07,2,2007,2007,7,7,1,7
"183",2007-07-08,2007-07-14,2,2007,2007,7,7,8,14
"184",2007-07-15,2007-07-21,2,2007,2007,7,7,15,21
"185",2007-07-22,2007-07-28,2,2007,2007,7,7,22,28
"186",2007-07-29,2007-08-04,2,2007,2007,7,8,29,4
"187",2007-08-05,2007-08-11,2,2007,2007,8,8,5,11
"188",2007-08-12,2007-08-18,2,2007,2007,8,8,12,18
"189",2007-08-19,2007-08-25,2,2007,2007,8,8,19,25
"190",2007-08-26,2007-09-01,2,2007,2007,8,9,26,1
"191",2007-09-02,2007-09-08,2,2007,2007,9,9,2,8
"192",2007-09-09,2007-09-15,2,2007,2007,9,9,9,15
"193",2007-09-16,2007-09-22,2,2007,2007,9,9,16,22
"194",2007-09-23,2007-09-29,2,2007,2007,9,9,23,29
"195",2007-09-30,2007-10-06,2,2007,2007,9,10,30,6
"196",2007-10-07,2007-10-13,2,2007,2007,10,10,7,13
"197",2007-10-14,2007-10-20,2,2007,2007,10,10,14,20
"198",2007-10-21,2007-10-27,2,2007,2007,10,10,21,27
"199",2007-10-28,2007-11-03,2,2007,2007,10,11,28,3
"200",2007-11-04,2007-11-10,2,2007,2007,11,11,4,10
"201",2007-11-11,2007-11-17,2,2007,2007,11,11,11,17
"202",2007-11-18,2007-11-24,2,2007,2007,11,11,18,24
"203",2007-11-25,2007-12-01,2,2007,2007,11,12,25,1
"204",2007-12-02,2007-12-08,2,2007,2007,12,12,2,8
"205",2007-12-09,2007-12-15,2,2007,2007,12,12,9,15
"206",2007-12-16,2007-12-22,2,2007,2007,12,12,16,22
"207",2007-12-23,2007-12-29,2,2007,2007,12,12,23,29
"208",2007-12-30,2008-01-05,2,2007,2008,12,1,30,5
"209",2008-01-06,2008-01-12,2,2008,2008,1,1,6,12
"210",2008-01-13,2008-01-19,2,2008,2008,1,1,13,19
"211",2008-01-20,2008-01-26,2,2008,2008,1,1,20,26
"212",2008-01-27,2008-02-02,2,2008,2008,1,2,27,2
"213",2008-02-03,2008-02-09,2,2008,2008,2,2,3,9
"214",2008-02-10,2008-02-16,2,2008,2008,2,2,10,16
"215",2008-02-17,2008-02-23,2,2008,2008,2,2,17,23
"216",2008-02-24,2008-03-01,2,2008,2008,2,3,24,1
"217",2008-03-02,2008-03-08,2,2008,2008,3,3,2,8
"218",2008-03-09,2008-03-15,2,2008,2008,3,3,9,15
"219",2008-03-16,2008-03-22,2,2008,2008,3,3,16,22
"220",2008-03-23,2008-03-29,2,2008,2008,3,3,23,29
"221",2008-03-30,2008-04-05,2,2008,2008,3,4,30,5
"222",2008-04-06,2008-04-12,2,2008,2008,4,4,6,12
"223",2008-04-13,2008-04-19,2,2008,2008,4,4,13,19
"224",2008-04-20,2008-04-26,2,2008,2008,4,4,20,26
"225",2008-04-27,2008-05-03,2,2008,2008,4,5,27,3
"226",2008-05-04,2008-05-10,2,2008,2008,5,5,4,10
"227",2008-05-11,2008-05-17,2,2008,2008,5,5,11,17
"228",2008-05-18,2008-05-24,2,2008,2008,5,5,18,24
"229",2008-05-25,2008-05-31,2,2008,2008,5,5,25,31
"230",2008-06-01,2008-06-07,2,2008,2008,6,6,1,7
"231",2008-06-08,2008-06-14,2,2008,2008,6,6,8,14
"232",2008-06-15,2008-06-21,2,2008,2008,6,6,15,21
"233",2008-06-22,2008-06-28,2,2008,2008,6,6,22,28
"234",2008-06-29,2008-07-05,2,2008,2008,6,7,29,5
"235",2008-07-06,2008-07-12,2,2008,2008,7,7,6,12
"236",2008-07-13,2008-07-19,2,2008,2008,7,7,13,19
"237",2008-07-20,2008-07-26,2,2008,2008,7,7,20,26
"238",2008-07-27,2008-08-02,2,2008,2008,7,8,27,2
"239",2008-08-03,2008-08-09,2,2008,2008,8,8,3,9
"240",2008-08-10,2008-08-16,2,2008,2008,8,8,10,16
"241",2008-08-17,2008-08-23,2,2008,2008,8,8,17,23
"242",2008-08-24,2008-08-30,2,2008,2008,8,8,24,30
"243",2008-08-31,2008-09-06,2,2008,2008,8,9,31,6
"244",2008-09-07,2008-09-13,2,2008,2008,9,9,7,13
"245",2008-09-14,2008-09-20,56,2008,2008,9,9,14,20
"246",2008-09-21,2008-09-27,47,2008,2008,9,9,21,27
"247",2008-09-28,2008-10-04,71,2008,2008,9,10,28,4
"248",2008-10-05,2008-10-11,66,2008,2008,10,10,5,11
"249",2008-10-12,2008-10-18,2,2008,2008,10,10,12,18
"250",2008-10-19,2008-10-25,2,2008,2008,10,10,19,25
"251",2008-10-26,2008-11-01,2,2008,2008,10,11,26,1
"252",2008-11-02,2008-11-08,2,2008,2008,11,11,2,8
"253",2008-11-09,2008-11-15,2,2008,2008,11,11,9,15
"254",2008-11-16,2008-11-22,57,2008,2008,11,11,16,22
"255",2008-11-23,2008-11-29,2,2008,2008,11,11,23,29
"256",2008-11-30,2008-12-06,2,2008,2008,11,12,30,6
"257",2008-12-07,2008-12-13,2,2008,2008,12,12,7,13
"258",2008-12-14,2008-12-20,2,2008,2008,12,12,14,20
"259",2008-12-21,2008-12-27,2,2008,2008,12,12,21,27
"260",2008-12-28,2009-01-03,2,2008,2009,12,1,28,3
"261",2009-01-04,2009-01-10,2,2009,2009,1,1,4,10
"262",2009-01-11,2009-01-17,2,2009,2009,1,1,11,17
"263",2009-01-18,2009-01-24,2,2009,2009,1,1,18,24
"264",2009-01-25,2009-01-31,2,2009,2009,1,1,25,31
"265",2009-02-01,2009-02-07,2,2009,2009,2,2,1,7
"266",2009-02-08,2009-02-14,2,2009,2009,2,2,8,14
"267",2009-02-15,2009-02-21,43,2009,2009,2,2,15,21
"268",2009-02-22,2009-02-28,56,2009,2009,2,2,22,28
"269",2009-03-01,2009-03-07,57,2009,2009,3,3,1,7
"270",2009-03-08,2009-03-14,58,2009,2009,3,3,8,14
"271",2009-03-15,2009-03-21,58,2009,2009,3,3,15,21
"272",2009-03-22,2009-03-28,50,2009,2009,3,3,22,28
"273",2009-03-29,2009-04-04,74,2009,2009,3,4,29,4
"274",2009-04-05,2009-04-11,50,2009,2009,4,4,5,11
"275",2009-04-12,2009-04-18,50,2009,2009,4,4,12,18
"276",2009-04-19,2009-04-25,63,2009,2009,4,4,19,25
"277",2009-04-26,2009-05-02,73,2009,2009,4,5,26,2
"278",2009-05-03,2009-05-09,4,2009,2009,5,5,3,9
"279",2009-05-10,2009-05-16,41,2009,2009,5,5,10,16
"280",2009-05-17,2009-05-23,41,2009,2009,5,5,17,23
"281",2009-05-24,2009-05-30,41,2009,2009,5,5,24,30
"282",2009-05-31,2009-06-06,34,2009,2009,5,6,31,6
"283",2009-06-07,2009-06-13,34,2009,2009,6,6,7,13
"284",2009-06-14,2009-06-20,39,2009,2009,6,6,14,20
"285",2009-06-21,2009-06-27,43,2009,2009,6,6,21,27
"286",2009-06-28,2009-07-04,45,2009,2009,6,7,28,4
"287",2009-07-05,2009-07-11,48,2009,2009,7,7,5,11
"288",2009-07-12,2009-07-18,50,2009,2009,7,7,12,18
"289",2009-07-19,2009-07-25,37,2009,2009,7,7,19,25
"290",2009-07-26,2009-08-01,50,2009,2009,7,8,26,1
"291",2009-08-02,2009-08-08,70,2009,2009,8,8,2,8
"292",2009-08-09,2009-08-15,67,2009,2009,8,8,9,15
"293",2009-08-16,2009-08-22,37,2009,2009,8,8,16,22
"294",2009-08-23,2009-08-29,38,2009,2009,8,8,23,29
"295",2009-08-30,2009-09-05,38,2009,2009,8,9,30,5
"296",2009-09-06,2009-09-12,38,2009,2009,9,9,6,12
"297",2009-09-13,2009-09-19,38,2009,2009,9,9,13,19
"298",2009-09-20,2009-09-26,39,2009,2009,9,9,20,26
"299",2009-09-27,2009-10-03,63,2009,2009,9,10,27,3
"300",2009-10-04,2009-10-10,47,2009,2009,10,10,4,10
"301",2009-10-11,2009-10-17,47,2009,2009,10,10,11,17
"302",2009-10-18,2009-10-24,49,2009,2009,10,10,18,24
"303",2009-10-25,2009-10-31,68,2009,2009,10,10,25,31
"304",2009-11-01,2009-11-07,39,2009,2009,11,11,1,7
"305",2009-11-08,2009-11-14,44,2009,2009,11,11,8,14
"306",2009-11-15,2009-11-21,59,2009,2009,11,11,15,21
"307",2009-11-22,2009-11-28,43,2009,2009,11,11,22,28
"308",2009-11-29,2009-12-05,43,2009,2009,11,12,29,5
"309",2009-12-06,2009-12-12,43,2009,2009,12,12,6,12
"310",2009-12-13,2009-12-19,2,2009,2009,12,12,13,19
"311",2009-12-20,2009-12-26,2,2009,2009,12,12,20,26
"312",2009-12-27,2010-01-02,2,2009,2010,12,1,27,2
"313",2010-01-03,2010-01-09,2,2010,2010,1,1,3,9
"314",2010-01-10,2010-01-16,2,2010,2010,1,1,10,16
"315",2010-01-17,2010-01-23,50,2010,2010,1,1,17,23
"316",2010-01-24,2010-01-30,55,2010,2010,1,1,24,30
"317",2010-01-31,2010-02-06,53,2010,2010,1,2,31,6
"318",2010-02-07,2010-02-13,58,2010,2010,2,2,7,13
"319",2010-02-14,2010-02-20,48,2010,2010,2,2,14,20
"320",2010-02-21,2010-02-27,57,2010,2010,2,2,21,27
"321",2010-02-28,2010-03-06,64,2010,2010,2,3,28,6
"322",2010-03-07,2010-03-13,46,2010,2010,3,3,7,13
"323",2010-03-14,2010-03-20,46,2010,2010,3,3,14,20
"324",2010-03-21,2010-03-27,48,2010,2010,3,3,21,27
"325",2010-03-28,2010-04-03,51,2010,2010,3,4,28,3
"326",2010-04-04,2010-04-10,54,2010,2010,4,4,4,10
"327",2010-04-11,2010-04-17,44,2010,2010,4,4,11,17
"328",2010-04-18,2010-04-24,44,2010,2010,4,4,18,24
"329",2010-04-25,2010-05-01,36,2010,2010,4,5,25,1
"330",2010-05-02,2010-05-08,36,2010,2010,5,5,2,8
"331",2010-05-09,2010-05-15,36,2010,2010,5,5,9,15
"332",2010-05-16,2010-05-22,36,2010,2010,5,5,16,22
"333",2010-05-23,2010-05-29,36,2010,2010,5,5,23,29
"334",2010-05-30,2010-06-05,37,2010,2010,5,6,30,5
"335",2010-06-06,2010-06-12,38,2010,2010,6,6,6,12
"336",2010-06-13,2010-06-19,39,2010,2010,6,6,13,19
"337",2010-06-20,2010-06-26,42,2010,2010,6,6,20,26
"338",2010-06-27,2010-07-03,43,2010,2010,6,7,27,3
"339",2010-07-04,2010-07-10,44,2010,2010,7,7,4,10
"340",2010-07-11,2010-07-17,45,2010,2010,7,7,11,17
"341",2010-07-18,2010-07-24,39,2010,2010,7,7,18,24
"342",2010-07-25,2010-07-31,44,2010,2010,7,7,25,31
"343",2010-08-01,2010-08-07,58,2010,2010,8,8,1,7
"344",2010-08-08,2010-08-14,58,2010,2010,8,8,8,14
"345",2010-08-15,2010-08-21,51,2010,2010,8,8,15,21
"346",2010-08-22,2010-08-28,53,2010,2010,8,8,22,28
"347",2010-08-29,2010-09-04,52,2010,2010,8,9,29,4
"348",2010-09-05,2010-09-11,35,2010,2010,9,9,5,11
"349",2010-09-12,2010-09-18,35,2010,2010,9,9,12,18
"350",2010-09-19,2010-09-25,35,2010,2010,9,9,19,25
"351",2010-09-26,2010-10-02,35,2010,2010,9,10,26,2
"352",2010-10-03,2010-10-09,37,2010,2010,10,10,3,9
"353",2010-10-10,2010-10-16,39,2010,2010,10,10,10,16
"354",2010-10-17,2010-10-23,46,2010,2010,10,10,17,23
"355",2010-10-24,2010-10-30,37,2010,2010,10,10,24,30
"356",2010-10-31,2010-11-06,46,2010,2010,10,11,31,6
"357",2010-11-07,2010-11-13,54,2010,2010,11,11,7,13
"358",2010-11-14,2010-11-20,50,2010,2010,11,11,14,20
"359",2010-11-21,2010-11-27,59,2010,2010,11,11,21,27
"360",2010-11-28,2010-12-04,37,2010,2010,11,12,28,4
"361",2010-12-05,2010-12-11,42,2010,2010,12,12,5,11
"362",2010-12-12,2010-12-18,39,2010,2010,12,12,12,18
"363",2010-12-19,2010-12-25,41,2010,2010,12,12,19,25
"364",2010-12-26,2011-01-01,41,2010,2011,12,1,26,1
"365",2011-01-02,2011-01-08,41,2011,2011,1,1,2,8
"366",2011-01-09,2011-01-15,35,2011,2011,1,1,9,15
"367",2011-01-16,2011-01-22,34,2011,2011,1,1,16,22
"368",2011-01-23,2011-01-29,42,2011,2011,1,1,23,29
"369",2011-01-30,2011-02-05,36,2011,2011,1,2,30,5
"370",2011-02-06,2011-02-12,33,2011,2011,2,2,6,12
"371",2011-02-13,2011-02-19,35,2011,2011,2,2,13,19
"372",2011-02-20,2011-02-26,30,2011,2011,2,2,20,26
"373",2011-02-27,2011-03-05,22,2011,2011,2,3,27,5
"374",2011-03-06,2011-03-12,31,2011,2011,3,3,6,12
"375",2011-03-13,2011-03-19,35,2011,2011,3,3,13,19
"376",2011-03-20,2011-03-26,39,2011,2011,3,3,20,26
"377",2011-03-27,2011-04-02,30,2011,2011,3,4,27,2
"378",2011-04-03,2011-04-09,29,2011,2011,4,4,3,9
"379",2011-04-10,2011-04-16,26,2011,2011,4,4,10,16
"380",2011-04-17,2011-04-23,24,2011,2011,4,4,17,23
"381",2011-04-24,2011-04-30,24,2011,2011,4,4,24,30
"382",2011-05-01,2011-05-07,32,2011,2011,5,5,1,7
"383",2011-05-08,2011-05-14,27,2011,2011,5,5,8,14
"384",2011-05-15,2011-05-21,29,2011,2011,5,5,15,21
"385",2011-05-22,2011-05-28,37,2011,2011,5,5,22,28
"386",2011-05-29,2011-06-04,31,2011,2011,5,6,29,4
"387",2011-06-05,2011-06-11,17,2011,2011,6,6,5,11
"388",2011-06-12,2011-06-18,34,2011,2011,6,6,12,18
"389",2011-06-19,2011-06-25,27,2011,2011,6,6,19,25
"390",2011-06-26,2011-07-02,28,2011,2011,6,7,26,2
"391",2011-07-03,2011-07-09,27,2011,2011,7,7,3,9
"392",2011-07-10,2011-07-16,19,2011,2011,7,7,10,16
"393",2011-07-17,2011-07-23,25,2011,2011,7,7,17,23
"394",2011-07-24,2011-07-30,32,2011,2011,7,7,24,30
"395",2011-07-31,2011-08-06,20,2011,2011,7,8,31,6
"396",2011-08-07,2011-08-13,75,2011,2011,8,8,7,13
"397",2011-08-14,2011-08-20,30,2011,2011,8,8,14,20
"398",2011-08-21,2011-08-27,35,2011,2011,8,8,21,27
"399",2011-08-28,2011-09-03,31,2011,2011,8,9,28,3
"400",2011-09-04,2011-09-10,32,2011,2011,9,9,4,10
"401",2011-09-11,2011-09-17,24,2011,2011,9,9,11,17
"402",2011-09-18,2011-09-24,22,2011,2011,9,9,18,24
"403",2011-09-25,2011-10-01,28,2011,2011,9,10,25,1
"404",2011-10-02,2011-10-08,29,2011,2011,10,10,2,8
"405",2011-10-09,2011-10-15,31,2011,2011,10,10,9,15
"406",2011-10-16,2011-10-22,33,2011,2011,10,10,16,22
"407",2011-10-23,2011-10-29,30,2011,2011,10,10,23,29
"408",2011-10-30,2011-11-05,45,2011,2011,10,11,30,5
"409",2011-11-06,2011-11-12,67,2011,2011,11,11,6,12
"410",2011-11-13,2011-11-19,61,2011,2011,11,11,13,19
"411",2011-11-20,2011-11-26,39,2011,2011,11,11,20,26
"412",2011-11-27,2011-12-03,29,2011,2011,11,12,27,3
"413",2011-12-04,2011-12-10,21,2011,2011,12,12,4,10
"414",2011-12-11,2011-12-17,56,2011,2011,12,12,11,17
"415",2011-12-18,2011-12-24,22,2011,2011,12,12,18,24
"416",2011-12-25,2011-12-31,19,2011,2011,12,12,25,31
"417",2012-01-01,2012-01-07,19,2012,2012,1,1,1,7
"418",2012-01-08,2012-01-14,25,2012,2012,1,1,8,14
"419",2012-01-15,2012-01-21,38,2012,2012,1,1,15,21
"420",2012-01-22,2012-01-28,22,2012,2012,1,1,22,28
"421",2012-01-29,2012-02-04,55,2012,2012,1,2,29,4
"422",2012-02-05,2012-02-11,50,2012,2012,2,2,5,11
